belief_in_model_cb,belief_in_model_cf,belief_in_interaction_strength_views_global,belief_in_interaction_strength_likes_global,belief_in_liked,belief_in_viewed,recall_at_5,recall_at_10

4,1,5,1,2,1,0.403030303030303,0.5242424242424243
0,5,5,7,9,1,0.42424242424242425,0.5242424242424243
1,2,7,7,1,8,0.4393939393939394,0.5242424242424243
3,6,1,6,9,7,0.4090909090909091,0.5333333333333333
7,0,2,5,4,5,0.39090909090909093,0.5242424242424243
7,5,2,1,9,4,0.403030303030303,0.5242424242424243
8,3,7,1,0,2,0.38181818181818183,0.49393939393939396
8,9,3,9,3,4,0.4,0.5242424242424243
9,4,9,8,3,9,0.396969696969697,0.5242424242424243
3,5,2,2,9,5,0.41515151515151516,0.5333333333333333
7,7,5,1,6,9,0.4090909090909091,0.5303030303030303
9,7,8,5,1,8,0.403030303030303,0.5272727272727272
1,3,6,4,8,0,0.4666666666666667,0.5333333333333333
