belief_in_model_cb,belief_in_model_cf,belief_in_interaction_strength_views_global,belief_in_interaction_strength_likes_global,belief_in_liked,belief_in_viewed,recall_at_5,recall_at_10

0,6,7,9,7,3,0.43636363636363634,0.5333333333333333
0,5,5,7,9,1,0.43636363636363634,0.5272727272727272
3,6,1,6,9,7,0.38484848484848483,0.5242424242424243
7,0,2,5,4,5,0.38484848484848483,0.5212121212121212
7,5,2,1,9,4,0.4,0.5272727272727272
8,3,7,1,0,2,0.36363636363636365,0.49393939393939396
8,9,3,9,3,4,0.4303030303030303,0.5242424242424243
9,4,9,8,3,9,0.41515151515151516,0.5303030303030303
3,5,2,2,9,5,0.3939393939393939,0.5303030303030303
7,7,5,1,6,9,0.40606060606060607,0.5303030303030303
9,7,8,5,1,8,0.4,0.5303030303030303
1,3,6,4,8,0,0.44242424242424244,0.5303030303030303
3,5,4,2,2,7,0.396969696969697,0.5272727272727272
9,4,6,0,4,7,0.3939393939393939,0.5272727272727272
1,9,4,0,4,0,0.4575757575757576,0.5333333333333333
8,0,8,3,2,4,0.403030303030303,0.5272727272727272
6,8,1,6,2,8,0.396969696969697,0.5303030303030303
9,4,8,1,2,8,0.3939393939393939,0.5272727272727272
4,9,1,8,2,3,0.4,0.5303030303030303
7,0,3,1,9,7,0.38181818181818183,0.5242424242424243
0,0,0,7,4,5,0.42727272727272725,0.5303030303030303
2,3,4,2,8,9,0.3787878787878788,0.5242424242424243
1,9,5,6,0,5,0.3696969696969697,0.4909090909090909
4,1,1,9,3,5,0.3787878787878788,0.5242424242424243
7,8,3,5,5,5,0.403030303030303,0.5272727272727272
9,6,6,9,5,1,0.3939393939393939,0.5272727272727272
1,8,9,8,4,6,0.41818181818181815,0.5303030303030303
9,2,7,4,0,1,0.36363636363636365,0.4909090909090909
2,7,3,0,2,5,0.396969696969697,0.5303030303030303
4,1,2,7,8,5,0.3696969696969697,0.5181818181818182
1,9,3,8,7,4,0.4303030303030303,0.5272727272727272
5,9,2,0,8,2,0.403030303030303,0.5303030303030303
0,9,3,1,1,6,0.43636363636363634,0.5272727272727272
1,3,7,5,3,8,0.4212121212121212,0.5303030303030303
9,7,9,3,9,7,0.396969696969697,0.5303030303030303
5,5,5,1,0,8,0.3575757575757576,0.49696969696969695
3,6,6,0,3,1,0.41818181818181815,0.5303030303030303
7,1,5,5,8,8,0.37272727272727274,0.5212121212121212
5,4,7,3,2,3,0.3939393939393939,0.5272727272727272
8,2,5,3,1,2,0.4121212121212121,0.5333333333333333
9,9,3,5,4,4,0.4,0.5303030303030303
9,6,0,7,8,0,0.44545454545454544,0.5303030303030303
0,0,5,5,0,1,0.34545454545454546,0.5
5,0,2,2,7,9,0.3939393939393939,0.5272727272727272
8,1,8,3,7,3,0.396969696969697,0.5272727272727272
9,9,9,4,8,2,0.403030303030303,0.5303030303030303
1,7,5,2,4,9,0.41818181818181815,0.5333333333333333
2,9,8,8,7,8,0.42727272727272725,0.5333333333333333
8,9,0,7,9,4,0.42727272727272725,0.5333333333333333
8,3,2,0,1,3,0.4090909090909091,0.5303030303030303
8,0,7,8,0,0,0.15757575757575756,0.37272727272727274
