belief_in_model_cb,belief_in_model_cf,belief_in_interaction_strength_views_global,belief_in_interaction_strength_likes_global,belief_in_liked,belief_in_viewed,recall_at_5,recall_at_10

1,6,4,8,0,2,0.4090909090909091,0.49696969696969695
8,3,7,1,0,2,0.3939393939393939,0.49393939393939396
7,5,8,9,0,6,0.3878787878787879,0.49393939393939396
0,5,5,7,9,1,0.4393939393939394,0.5424242424242425
3,6,1,6,9,7,0.4393939393939394,0.5333333333333333
7,0,2,5,4,5,0.41818181818181815,0.5393939393939394
7,5,2,1,9,4,0.43636363636363634,0.5424242424242425
8,9,3,9,3,4,0.44545454545454544,0.5424242424242425
9,4,9,8,3,9,0.43636363636363634,0.5363636363636364
3,5,2,2,9,5,0.4393939393939394,0.5363636363636364
7,7,5,1,6,9,0.42424242424242425,0.5363636363636364
9,7,8,5,1,8,0.44242424242424244,0.5393939393939394
1,3,6,4,8,0,0.44545454545454544,0.5363636363636364
3,5,4,2,2,7,0.41818181818181815,0.5333333333333333
9,4,6,0,4,7,0.43636363636363634,0.5424242424242425
1,9,4,0,4,0,0.45454545454545453,0.5424242424242425
8,0,8,3,2,4,0.43333333333333335,0.5393939393939394
6,8,1,6,2,8,0.4393939393939394,0.5454545454545454
9,4,8,1,2,8,0.4303030303030303,0.5454545454545454
4,9,1,8,2,3,0.44545454545454544,0.5424242424242425
7,0,3,1,9,7,0.42727272727272725,0.5333333333333333
0,0,0,7,4,5,0.42727272727272725,0.5393939393939394
2,3,4,2,8,9,0.41515151515151516,0.5333333333333333
1,9,5,6,0,5,0.3878787878787879,0.49393939393939396
9,7,8,6,1,2,0.44545454545454544,0.5363636363636364
4,1,1,9,3,5,0.43636363636363634,0.5393939393939394
7,8,3,5,5,5,0.44545454545454544,0.5393939393939394
3,3,2,6,1,7,0.44242424242424244,0.5424242424242425
9,6,6,9,5,1,0.44545454545454544,0.5393939393939394
1,8,9,8,4,6,0.44242424242424244,0.5393939393939394
