belief_in_model_cb,belief_in_model_cf,belief_in_interaction_strength_views_global,belief_in_interaction_strength_likes_global,belief_in_liked,belief_in_viewed,recall_at_5_hybrid,recall_at_10_hybrid,recall_at_5_hybrid_or_fuzzy_hybrid,recall_at_10_hybrid_or_fuzzy_hybrid,recall_at_5_cf,recall_at_10_cf,recall_at_5_cb,recall_at_10_cb,recall_at_5_pop,recall_at_10_pop


8,9,8,0,4,6,0.12424242424242424,0.31212121212121213,0.1787878787878788,0.31212121212121213,0.40606060606060607,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8515151515151516,0.996969696969697
0,5,5,7,9,1,0.08484848484848485,0.3,0.17272727272727273,0.3090909090909091,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8515151515151516,0.996969696969697
3,6,1,6,9,7,0.12727272727272726,0.3212121212121212,0.17575757575757575,0.3090909090909091,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8515151515151516,0.996969696969697
7,0,2,5,4,5,0.1393939393939394,0.3212121212121212,0.1787878787878788,0.31212121212121213,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8515151515151516,0.996969696969697
7,5,2,1,9,4,0.1303030303030303,0.3242424242424242,0.17575757575757575,0.30606060606060603,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8515151515151516,0.996969696969697
8,3,7,1,0,2,0.12121212121212122,0.3181818181818182,0.17272727272727273,0.3090909090909091,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8515151515151516,0.996969696969697
8,9,3,9,3,4,0.12424242424242424,0.31212121212121213,0.1787878787878788,0.31212121212121213,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8515151515151516,0.996969696969697
9,4,9,8,3,9,0.10909090909090909,0.30303030303030304,0.17272727272727273,0.3090909090909091,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8515151515151516,0.996969696969697
3,5,2,2,9,5,0.12727272727272726,0.3181818181818182,0.17575757575757575,0.31212121212121213,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8515151515151516,0.996969696969697
7,7,5,1,6,9,0.1484848484848485,0.32727272727272727,0.17575757575757575,0.31212121212121213,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8515151515151516,0.996969696969697
9,7,8,5,1,8,0.12424242424242424,0.3181818181818182,0.17272727272727273,0.30606060606060603,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8515151515151516,0.996969696969697
1,3,6,4,8,0,0.2636363636363636,0.36363636363636365,0.18181818181818182,0.3212121212121212,0.40606060606060607,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8515151515151516,0.996969696969697
3,5,4,2,2,7,0.12727272727272726,0.3181818181818182,0.17575757575757575,0.31212121212121213,0.4090909090909091,0.4303030303030303,0.20606060606060606,0.22424242424242424,0.8515151515151516,0.996969696969697
